mkoa,wilaya,shule,type,sex
Pwani,Mkuranga,MAMNDIMKONGO,ward,mixture
Pwani,Mkuranga,MITEZA,ward,mixture
Pwani,Mkuranga,MKAMBA,ward,mixture
Pwani,Mkuranga,MKIU,ward,mixture
Pwani,Mkuranga,MKUGILO,ward,mixture
Pwani,Mkuranga,MWANDEGE,ward,mixture
Pwani,Mkuranga,MWARUSEMBE,ward,mixture
Pwani,Mkuranga,MWINYI,ward,mixture
Pwani,Mkuranga,NASIBUGANI,ward,mixture
Pwani,Mkuranga,PANZUO,ward,mixture
Pwani,Mkuranga,SHUNGUBWENI,ward,mixture
Pwani,Mkuranga,TAMBANI,ward,mixture
Pwani,Mkuranga,TENGELEA,ward,mixture
Pwani,Mkuranga,VIANZI,ward,mixture
Pwani,Mkuranga,VIKINDU,ward,mixture
Pwani,Rufiji,IKWIRIRI,ward,mixture
Pwani,Rufiji,KAZAMOYO,ward,mixture
Pwani,Rufiji,MBWARA,ward,mixture
Pwani,Rufiji,MKONGO,ward,mixture
Pwani,Rufiji,MOHORO,ward,mixture
Pwani,Rufiji,MWASENI,ward,mixture
Pwani,Rufiji,NGORONGO,ward,mixture
Pwani,Rufiji,UMWE,ward,mixture
Pwani,Rufiji,UTETE,ward,mixture
Dar es Salaam,Ilala cbd,ABUUY JUMAA,ward,mixture
Dar es Salaam,Ilala cbd,ARI,ward,mixture
Dar es Salaam,Ilala cbd,AZANIA,ward,mixture
Dar es Salaam,Ilala cbd,B W MKAPA,ward,mixture
Dar es Salaam,Ilala cbd,BINTI MUSSA,ward,mixture
Dar es Salaam,Ilala cbd,BUYUNI,ward,mixture
Dar es Salaam,Ilala cbd,CHANIKA,ward,mixture
Dar es Salaam,Ilala cbd,DAR ES SALAAM,ward,mixture
Dar es Salaam,Ilala cbd,FURAHA,ward,mixture
Dar es Salaam,Ilala cbd,GEREZANI,ward,mixture
Dar es Salaam,Ilala cbd,HALISI,ward,mixture
Dar es Salaam,Ilala cbd,ILALA,ward,mixture
Dar es Salaam,Ilala cbd,JAMHURI,ward,mixture
Dar es Salaam,Ilala cbd,JANGWANI,ward,mixture
Dar es Salaam,Ilala cbd,JUHUDI,ward,mixture
Dar es Salaam,Ilala,KASULU,ward,mixture
Dar es Salaam,Ilala cbd,KEREZANGE,ward,mixture
Dar es Salaam,Ilala,KIMANGA,ward,mixture
Dar es Salaam,Ilala cbd,KINYAMWEZI,ward,mixture
Dar es Salaam,Ilala cbd,KINYEREZI,ward,mixture
Dar es Salaam,Ilala cbd,KISUNGU,ward,mixture
Dar es Salaam,Ilala cbd,KISUTU,ward,mixture
Dar es Salaam,Ilala cbd,KITONGA,ward,mixture
Dar es Salaam,Ilala cbd,KITUNDA,ward,mixture
Dar es Salaam,Ilala cbd,KIVULE,ward,mixture
Dar es Salaam,Ilala cbd,MAGOZA,ward,mixture
Dar es Salaam,Ilala cbd,MAJANI YA CHAI,ward,mixture
Dar es Salaam,Ilala cbd,MBONDOLE,ward,mixture
Dar es Salaam,Ilala cbd,MCHANGANYIKO,ward,mixture
Dar es Salaam,Ilala cbd,MCHIKICHINI,ward,mixture
Dar es Salaam,Ilala cbd,MIGOMBANI,ward,mixture
Dar es Salaam,Ilala cbd,MISITU,ward,mixture
Dar es Salaam,Ilala cbd,MKERA,ward,mixture
Dar es Salaam,Ilala cbd,MNAZI MMOJA,ward,mixture
Dar es Salaam,Ilala cbd,MSIMBAZI,ward,mixture
Dar es Salaam,Ilala cbd,MSONGOLA,ward,mixture
Dar es Salaam,Ilala cbd,MVUTI,ward,mixture
Dar es Salaam,Ilala cbd,MWANAGATI,ward,mixture
Dar es Salaam,Ilala cbd,NGUVU MPYA,ward,mixture
Dar es Salaam,Ilala cbd,NYEBURU,ward,mixture
Dar es Salaam,Ilala cbd,PUGU,ward,mixture
Dar es Salaam,Ilala cbd,PUGU STATION,ward,mixture
Dar es Salaam,Ilala cbd,SANGARA,ward,mixture
Dar es Salaam,Ilala cbd,TAMBAZA,ward,mixture
Dar es Salaam,Ilala cbd,UGOMBOLWA,ward,mixture
Dar es Salaam,Ilala cbd,ULONGONI,ward,mixture
Dar es Salaam,Ilala cbd,VINGUNGUTI,ward,mixture
Dar es Salaam,Ilala cbd,VIWEGE,ward,mixture
Dar es Salaam,Ilala cbd,ZANAKI,ward,mixture
Dar es Salaam,Ilala cbd,ZAWADI,ward,mixture
Dar es Salaam,Ilala cbd,ZINGIZIWA,ward,mixture
Dar es Salaam,Kigamboni,ABOUD JUMBE,ward,mixture
Dar es Salaam,Kigamboni,KIBADA,ward,mixture
Dar es Salaam,Kigamboni,KIBUGUMO,ward,mixture
Dar es Salaam,Kigamboni,KIDETE,ward,mixture
Dar es Salaam,Kigamboni,KIMBIJI,ward,mixture
Dar es Salaam,Kigamboni,KISARAWE II,ward,mixture
Dar es Salaam,Kigamboni,KISOTA,ward,mixture
Dar es Salaam,Kigamboni,MINAZINI,ward,mixture
Dar es Salaam,Kigamboni,MIZIMBINI,ward,mixture
Dar es Salaam,Kigamboni,NGUVA,ward,mixture
Dar es Salaam,Kigamboni,PEMBAMNAZI,ward,mixture
Dar es Salaam,Kigamboni,SOMANGILA,ward,mixture
Dar es Salaam,Kigamboni,TUNGI,ward,mixture
Dar es Salaam,Kigamboni,VIJIBWENI,ward,mixture
Dar es Salaam,Kinondoni,BOKO,ward,mixture
Dar es Salaam,Kinondoni,BUNJU A,ward,mixture
Dar es Salaam,Kinondoni,HANANASIFU,ward,mixture
Dar es Salaam,Kinondoni,KAMBANGWA,ward,mixture
Dar es Salaam,Kinondoni,KAWE UKWAMANI,ward,mixture
Dar es Salaam,Kinondoni,KIGOGO,ward,mixture
Dar es Salaam,Kinondoni,KISAUKE,ward,mixture
Dar es Salaam,Kinondoni,KONDO,ward,mixture
Dar es Salaam,Kinondoni,MABWE TUMAINI,ward,mixture
Dar es Salaam,Kinondoni,MAENDELEO,ward,mixture
Dar es Salaam,Kinondoni,MAKONGO JUU,ward,mixture
Dar es Salaam,Kinondoni,MAKUMBUSHO,ward,mixture
Dar es Salaam,Kinondoni,MBEZI JUU,ward,mixture
Dar es Salaam,Kinondoni,MBOPO,ward,mixture
Dar es Salaam,Kinondoni,MBWENI,ward,mixture
Dar es Salaam,Kinondoni,MBWENI TETA,ward,mixture
Dar es Salaam,Kinondoni,MIKOCHENI,ward,mixture
Dar es Salaam,Kinondoni,MIVUMONI,ward,mixture
Dar es Salaam,Kinondoni,MTAKUJA BEACH,ward,mixture
Dar es Salaam,Kinondoni,MZIMUNI,ward,mixture
Dar es Salaam,Kinondoni,NJECHELE,ward,mixture
Dar es Salaam,Kinondoni,OYSTERBAY,ward,mixture
Dar es Salaam,Kinondoni,SALMA KIKWETE,ward,mixture
Dar es Salaam,Kinondoni,TURIANI,ward,mixture
Dar es Salaam,Kinondoni,TWIGA,ward,mixture
Dar es Salaam,Temeke,BARABARA YA MWINYI,ward,mixture
Dar es Salaam,Temeke,BUZA,ward,mixture
Dar es Salaam,Temeke,CHAMAZI,ward,mixture
Dar es Salaam,Temeke,CHANGANYIKENI,ward,mixture
Dar es Salaam,Temeke,CHANGOMBE,ward,mixture
Dar es Salaam,Temeke,CHARAMBE,ward,mixture
Dar es Salaam,Temeke,KEKO,ward,mixture
Dar es Salaam,Temeke,KIBASILA,ward,mixture
Dar es Salaam,Temeke,KIBASILA B,ward,mixture
Dar es Salaam,Temeke,KICHANGA,ward,mixture
Dar es Salaam,Temeke,KIJICHI,ward,mixture
Dar es Salaam,Temeke,KINGUGI,ward,mixture
Dar es Salaam,Temeke,KURASINI,ward,mixture
Dar es Salaam,Temeke,LUMO,ward,mixture
Dar es Salaam,Temeke,MALELA,ward,mixture
Dar es Salaam,Temeke,MBAGALA,ward,mixture
Dar es Salaam,Temeke,MBANDE,ward,mixture
Dar es Salaam,Temeke,MIBURANI,ward,mixture
Dar es Salaam,Temeke,MIKWAMBE,ward,mixture
Dar es Salaam,Temeke,MTONI RELINI,ward,mixture
Dar es Salaam,Temeke,MUUNGANO,ward,mixture
Dar es Salaam,Temeke,NDALALA,ward,mixture
Dar es Salaam,Temeke,NZASA,ward,mixture
Dar es Salaam,Temeke,PENDA MOYO,ward,mixture
Dar es Salaam,Temeke,SAKU,ward,mixture
Dar es Salaam,Temeke,TANDIKA,ward,mixture
Dar es Salaam,Temeke,TEMEKE,ward,mixture
Dar es Salaam,Temeke,TOANGOMA,ward,mixture
Dar es Salaam,Temeke,WAILESI,ward,mixture
Dar es Salaam,Ubungo,FAHARI GOBA B,ward,mixture
Dar es Salaam,Ubungo,GOBA,ward,mixture
Dar es Salaam,Ubungo,GOBA MPAKANI,ward,mixture
Dar es Salaam,Ubungo,GOGONI,ward,mixture
Dar es Salaam,Ubungo,HONDOGO,ward,mixture
Dar es Salaam,Ubungo,KIBAMBA,ward,mixture
Dar es Salaam,Ubungo,KIBWEGERE,ward,mixture
Dar es Salaam,Ubungo,KIBWEHERI,ward,mixture
Dar es Salaam,Ubungo,KILUVYA,ward,mixture
Dar es Salaam,Ubungo,KIMARA,ward,mixture
Dar es Salaam,Ubungo,KINGONGO,ward,mixture
Dar es Salaam,Ubungo,KINZUDI GOBA C,ward,mixture
Dar es Salaam,Ubungo,KWEMBE,ward,mixture
Dar es Salaam,Ubungo,LUGURUNI,ward,mixture
Dar es Salaam,Ubungo,MABIBO,ward,mixture
Dar es Salaam,Ubungo,MAKOKA,ward,mixture
Dar es Salaam,Ubungo,MAKURUMLA,ward,mixture
Dar es Salaam,Ubungo,MALAMBAMAWILI,ward,mixture
Dar es Salaam,Ubungo,MANZESE,ward,mixture
Dar es Salaam,Ubungo,MASHUJAA,ward,mixture
Dar es Salaam,Ubungo,MATOSA,ward,mixture
Dar es Salaam,Ubungo,MBEZI INN,ward,mixture
Dar es Salaam,Ubungo,MBURAHATI,ward,mixture
Dar es Salaam,Ubungo,MPIJI MAGOHE,ward,mixture
Dar es Salaam,Ubungo,MUGABE,ward,mixture
Dar es Salaam,Ubungo,SARANGA,ward,mixture
Dar es Salaam,Ubungo,TEMBONI GVT,ward,mixture
Dar es Salaam,Ubungo,URAFIKI,ward,mixture
Dar es Salaam,Ubungo,Y R MAKAMBA,ward,mixture
Geita,Bukombe,BUKOMBE,ward,mixture
Geita,Bukombe,BULEGA,ward,mixture
Geita,Bukombe,BUSINDA,ward,mixture
Geita,Bukombe,BUSONGE,ward,mixture
Geita,Bukombe,BUSONZO,ward,mixture
Geita,Bukombe,BUTINZYA,ward,mixture
Geita,Bukombe,IYOGELO,ward,mixture
Geita,Bukombe,KATENTE,ward,mixture
Geita,Bukombe,LYAMBAMGONGO,ward,mixture
Geita,Bukombe,MSONGA,ward,mixture
Geita,Bukombe,MUSASA,ward,mixture
Geita,Bukombe,NAMONGE,ward,mixture
Geita,Bukombe,RUNZEWE,ward,mixture
Geita,Bukombe,USHIROMBO,ward,mixture
Geita,Bukombe,UYOVU,ward,mixture
Geita,Chato,BUHINGO CHATO,ward,mixture
Geita,Chato,BUSERESERE,ward,mixture
Geita,Chato,BUTENGORUMASA,ward,mixture
Geita,Chato,BUZIRAYOMBO,ward,mixture
Geita,Chato,BWANGA,ward,mixture
Geita,Chato,BWERA,ward,mixture
Geita,Chato,BWINA,ward,mixture
Geita,Chato,BWONGERA,ward,mixture
Geita,Chato,CHATO,ward,mixture
Geita,Chato,ICHWANKIMA,ward,mixture
Geita,Chato,ILEMELA,ward,mixture
Geita,Chato,ILYAMCHELE,ward,mixture
Geita,Chato,IPARAMASA,ward,mixture
Geita,Chato,JIKOMBOE,ward,mixture
Geita,Chato,KACHWAMBA,ward,mixture
Geita,Chato,KATENDE,ward,mixture
Geita,Chato,KIGONGO,ward,mixture
Geita,Chato,MAGUFULI,ward,mixture
Geita,Chato,MAKURUGUSI,ward,mixture
Geita,Chato,MNEKEZI,ward,mixture
Geita,Chato,NYAMIREMBE,ward,mixture
Geita,Chato,NYARUTEMBO,ward,mixture
Geita,Chato,RUBONDO CHATO,ward,mixture
Geita,Chato,SUMAYE BUZIKU,ward,mixture
Geita,Chato,WEMA,ward,mixture
Geita,Chato,ZAKIA MEGHJI,ward,mixture
Geita,Geita,BUGALAMA,ward,mixture
Geita,Geita,BUGANDO,ward,mixture
Geita,Geita,BUJULA,ward,mixture
Geita,Geita,BUKOLI,ward,mixture
Geita,Geita,BUKONDO,ward,mixture
Geita,Geita,BUSANDA,ward,mixture
Geita,Geita,BUSANZU,ward,mixture
Geita,Geita,BUTOBELA,ward,mixture
Geita,Geita,BUTUNDWE,ward,mixture
Geita,Geita,CHIGUNGA,ward,mixture
Geita,Geita,ISINGILO,ward,mixture
Geita,Geita,KAGU,ward,mixture
Geita,Geita,KAKUBILO,ward,mixture
Geita,Geita,KAMENA,ward,mixture
Geita,Geita,KAMHANGA,ward,mixture
Geita,Geita,KASEME,ward,mixture
Geita,Geita,KATORO,ward,mixture
Geita,Geita,KILIMAHEWA,ward,mixture
Geita,Geita,LUBANGA,ward,mixture
Geita,Geita,LUDETE,ward,mixture
Geita,Geita,LUTOZO,ward,mixture
Geita,Geita,LWAMGASA,ward,mixture
Geita,Geita,LWEMO,ward,mixture
Geita,Geita,LWEZELA,ward,mixture
Geita,Geita,MHARAMBA,ward,mixture
Geita,Geita,NKOME,ward,mixture
Geita,Geita,NYACHILULUMA,ward,mixture
Geita,Geita,NYAKAMWAGA,ward,mixture
Geita,Geita,NYAMALIMBE,ward,mixture
Geita,Geita,NYAMBOGE,ward,mixture
Geita,Geita,NYAMIGOTA,ward,mixture
Geita,Geita,NYAMWILOLELWA,ward,mixture
Geita,Geita,NYANKONGOCHORO,ward,mixture
Geita,Geita,NYARUGUSU,ward,mixture
Geita,Geita,NYARUYEYE,ward,mixture
Geita,Geita,SENGA,ward,mixture
Geita,Geita,BULELA,ward,mixture
Geita,Geita,BUNGWANGOKO,ward,mixture
Geita,Geita,GEITA,ward,mixture
Geita,Geita,IHANAMILO,ward,mixture
Geita,Geita,KALANGALALA,ward,mixture
Geita,Geita,KASAMWA,ward,mixture
Geita,Geita,KIVUKONI,ward,mixture
Geita,Geita,LUKARANGA,ward,mixture
Geita,Geita,MWATULOLE,ward,mixture
Geita,Geita,NYANKUMBU,ward,mixture
Geita,Geita,NYANZA,ward,mixture
Geita,Geita,SHANTAMINE,ward,mixture
Geita,Mbogwe,IKOBE,ward,mixture
Geita,Mbogwe,IKUNGUIGAZI,ward,mixture
Geita,Mbogwe,ILOLANGULU,ward,mixture
Geita,Mbogwe,IPONYA,ward,mixture
Geita,Mbogwe,ISANGIJO,ward,mixture
Geita,Mbogwe,KANEGERE,ward,mixture
Geita,Mbogwe,LUGUNGA,ward,mixture
Geita,Mbogwe,LULEMBELA,ward,mixture
Geita,Mbogwe,MASUMBWE,ward,mixture
Geita,Mbogwe,MBOGWE,ward,mixture
Geita,Mbogwe,NHOMOLWA,ward,mixture
Geita,Mbogwe,NYAKASALUMA,ward,mixture
Geita,Mbogwe,NYASATO,ward,mixture
Geita,Nyang’hwale,BUKWIMBA,ward,mixture
Geita,Nyang’hwale,BUSOLWA,ward,mixture
Geita,Nyang’hwale,IZUNYA,ward,mixture
